"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-125b-1-5p",1149,1848,2373,1740,2166,1846,2077,2415,266,11,8466,754
"hsa-miR-324-5p",31,15,13,10,16,12,14,20,0,1,10,5
"hsa-miR-221-5p",176,201,155,79,102,93,205,238,51,5,674,147
"hsa-miR-3177-3p",9,4,0,2,2,1,0,0,1,0,2,2
"hsa-miR-877-5p",13,10,31,18,17,15,29,28,2,1,31,6
"hsa-miR-140-5p",14,8,16,10,8,7,13,9,3,1,24,5
"hsa-miR-4421-3p",1,2,1,0,0,0,0,0,0,0,1,0
"hsa-miR-199b-3p",14,17,12,12,16,5,7,8,11,0,72,3
"hsa-miR-450b-5p",441,224,43,102,156,117,33,88,35,6,91,50
"hsa-miR-30c-2-5p",1242,903,1015,618,1779,886,1109,1811,187,64,1895,696
"hsa-miR-744-5p",44,58,118,74,117,70,78,78,2,12,220,9
"hsa-miR-107-3p",345,164,128,114,188,209,115,256,47,20,892,131
"hsa-let-7d-5p",772,462,663,548,697,446,426,668,97,4,1951,284
"hsa-miR-548d-2-5p",13,14,2,8,7,8,1,7,0,0,22,0
"hsa-miR-26b-5p",1169,1541,614,1035,1189,1542,903,1866,185,36,1698,690
"hsa-miR-548ae-2-5p",11,7,2,5,4,2,2,3,0,0,11,1
