"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_PRTF_2","HEK_Exosome_SDPR_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_PRTF_3","HEK_Exosome_SDPR_3"
"hsa-miR-103a-1-3p",4679,5405,919,6737,1275,1170,409,88,2076,2038,70,70
"hsa-miR-98-3p",1,1,1,2,0,0,0,0,0,0,0,0
"hsa-miR-130a-3p",32,33,3,10,7,2,2,0,2,1,0,1
"hsa-miR-548h-4-5p",10,12,11,14,26,6,6,6,1,7,0,3
"hsa-miR-28-3p",459,328,100,325,126,74,72,10,59,88,1,7
"hsa-miR-15b-3p",397,302,123,217,171,61,68,14,40,61,0,7
"hsa-miR-128-1-3p",5433,2995,2744,2970,5519,676,651,347,462,945,32,474
"hsa-miR-3135a-3p",6,15,2,3,2,9,1,0,4,1,0,0
"hsa-miR-142-5p",4,3,3,6,2,2,1,0,1,4,0,1
"hsa-miR-381-3p",1,3,8,6,3,1,5,1,4,4,0,0
"hsa-miR-130b-3p",178,114,34,103,61,25,12,5,8,18,0,1
"hsa-miR-4521-5p",5,17,14,27,6,1,7,10,10,5,6,2
"hsa-miR-92a-2-3p",29745,13512,11421,13700,21318,3317,3464,1200,2405,3125,135,592
"hsa-miR-505-3p",51,50,29,42,20,7,6,1,11,9,0,1
"hsa-miR-296-3p",132,165,85,216,109,60,68,22,57,63,1,3
"hsa-miR-503-5p",573,396,125,334,182,114,48,24,47,104,2,3
"hsa-miR-5095-5p",5,7,1,2,2,3,1,0,0,1,0,0
"hsa-miR-6087-5p",4,3,1,7,1,6,0,0,4,5,0,0
"hsa-miR-429-3p",2,17,3,418,2,2,1,14,2,5,3,2
"hsa-miR-185-3p",10,14,8,14,15,5,4,0,5,4,0,0
"hsa-miR-32-5p",306,136,121,137,197,36,29,10,41,51,3,4
"hsa-miR-1268a-3p",13,12,0,7,0,7,1,0,7,3,0,0
"hsa-miR-941-1-3p",74,36,78,97,71,18,40,2,30,20,0,3
"hsa-miR-378e-3p",65,42,24,48,24,19,21,4,16,21,0,2
"hsa-miR-3158-2-3p",15,18,2,17,0,9,7,2,5,4,0,0
"hsa-miR-22-3p",7146,6360,1163,4398,2059,762,389,92,346,709,12,25
"hsa-miR-31-3p",0,1,0,4,0,0,1,0,0,0,0,0
"hsa-miR-1304-3p",110,81,31,64,48,46,32,15,38,40,0,2
"hsa-miR-548b-5p",30,15,8,29,12,6,3,0,6,14,0,1
"hsa-miR-9-2-5p",318,338,345,331,799,64,261,69,54,102,12,33
"hsa-miR-548o-3p",58,67,48,62,61,45,57,21,22,44,0,3
"hsa-miR-335-3p",1,0,1,43,1,1,1,0,1,1,0,0
"hsa-miR-30d-3p",15,5,4,18,12,3,12,1,1,5,0,0
"hsa-miR-4746-5p",13,7,6,8,10,4,3,3,5,11,1,0
"hsa-miR-125a-5p",2192,1887,293,1743,433,250,40,43,141,240,2,19
"hsa-miR-362-5p",23,23,34,41,30,6,13,3,12,15,0,1
"hsa-miR-497-5p",45,26,12,33,36,4,8,1,3,8,0,0
"hsa-miR-6510-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-26a-2-5p",2349,3617,1655,3776,1810,659,630,219,952,1490,90,153
"hsa-miR-330-5p",36,13,15,9,8,5,4,2,5,2,0,0
"hsa-miR-934-5p",0,2,0,1,0,0,0,0,0,0,0,0
"hsa-let-7f-1-5p",626,989,277,1658,311,315,309,95,526,529,34,52
"hsa-miR-548o-2-3p",58,67,48,62,61,45,57,21,22,44,0,3
"hsa-miR-27a-3p",749,479,196,538,261,80,129,53,62,126,6,20
"hsa-miR-874-3p",18,11,3,11,13,5,3,1,3,2,1,0
"hsa-miR-188-5p",26,22,7,11,3,2,6,2,4,8,0,1
"hsa-miR-3118-2-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-1224-5p",11,4,7,5,5,3,1,0,1,0,0,1
"hsa-miR-378d-1-3p",299,112,258,173,178,69,71,28,44,59,0,7
"hsa-miR-1246-5p",41204,35111,11208,17921,26183,12718,17737,3355,5716,19667,36,1966
"hsa-miR-374a-5p",36,22,9,39,27,9,13,4,7,12,1,1
"hsa-miR-335-5p",9,7,2,3,1,1,0,0,0,1,0,0
"hsa-miR-212-5p",19,12,12,17,37,2,4,3,3,5,0,1
"hsa-miR-23b-3p",54,63,18,83,23,16,15,6,24,24,1,1
"hsa-miR-143-3p",74,58,123,127,50,33,78,9,84,80,2,4
"hsa-miR-320c-2-3p",432,259,229,302,283,79,55,31,21,80,2,12
"hsa-miR-6087-3p",23,25,5,17,18,13,8,4,25,26,0,4
"hsa-miR-641-5p",15,17,5,20,17,7,8,0,19,18,0,1
"hsa-miR-550a-2-5p",12,15,1,11,9,2,3,1,8,3,0,0
"hsa-miR-1303-5p",13,9,5,22,6,8,4,1,16,14,0,0
"hsa-miR-148b-3p",4224,3228,1480,4225,2071,607,889,255,179,459,23,78
"hsa-miR-4459-5p",16,17,3,18,1,2,2,1,3,12,0,1
"hsa-miR-135b-3p",0,1,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g-5p",381,618,157,874,150,292,194,52,329,415,16,15
"hsa-miR-4516-5p",1,4,5,4,8,2,3,0,3,2,0,3
"hsa-miR-346-5p",21,15,4,10,5,1,0,0,0,2,0,0
"hsa-miR-873-3p",5,0,0,1,0,1,0,0,0,0,0,0
"hsa-miR-328-3p",223,124,34,64,145,15,9,12,9,15,0,23
"hsa-miR-222-3p",556,500,188,441,213,54,81,12,101,112,5,16
"hsa-miR-708-5p",132,91,19,147,27,47,12,5,22,53,3,0
"hsa-miR-9-1-5p",318,338,345,331,799,64,261,69,54,102,12,33
"hsa-miR-148b-5p",7,7,2,20,17,8,7,0,5,10,0,1
"hsa-miR-548h-5-5p",9,12,11,14,26,6,6,6,1,7,0,3
"hsa-miR-27b-3p",1757,1431,466,1707,481,377,411,115,257,493,17,25
"hsa-miR-378g-5p",51,21,18,25,23,5,8,3,6,17,0,1
"hsa-miR-1262-5p",14,13,4,5,8,5,3,0,2,3,0,0
"hsa-miR-1273f-5p",63,43,10,28,26,24,23,15,17,42,0,8
"hsa-miR-548d-1-5p",67,38,16,52,25,28,18,0,8,34,0,1
"hsa-miR-203a-3p",79,32,8,91,27,12,10,10,9,19,2,6
"hsa-miR-19b-2-3p",553,301,303,466,304,149,184,20,128,118,7,9
"hsa-miR-592-5p",90,32,82,69,79,6,2,3,5,1,0,1
"hsa-miR-181a-1-3p",21,15,24,28,43,1,17,4,9,11,0,3
"hsa-miR-618-5p",17,9,11,31,14,2,2,1,4,12,0,0
"hsa-miR-1180-3p",619,264,488,297,699,94,108,76,59,120,1,37
"hsa-miR-548x-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-566-3p",33,23,7,31,16,19,4,3,8,30,0,1
"hsa-miR-148a-5p",57,43,37,36,38,10,37,4,11,18,3,7
"hsa-miR-194-1-5p",30,18,6,109,7,16,1,4,12,7,0,1
"hsa-let-7a-1-5p",896,1459,471,1460,582,282,284,102,447,579,29,77
"hsa-miR-548h-3-5p",10,12,11,14,26,6,6,6,1,7,0,3
"hsa-let-7a-3-5p",907,1458,472,1466,584,287,290,103,450,582,29,77
"hsa-miR-210-3p",202,217,69,216,104,26,19,8,14,39,0,3
"hsa-miR-181a-2-3p",26,36,3,19,19,7,4,2,5,5,0,1
"hsa-miR-29b-2-3p",19,19,13,75,6,5,9,1,3,8,0,2
"hsa-miR-548k-5p",17,18,22,31,25,7,14,6,10,16,1,2
"hsa-miR-99a-5p",10562,3625,2873,2679,6091,839,605,399,511,1049,18,419
"hsa-miR-3118-4-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-566-5p",11,12,1,4,1,11,6,1,2,4,0,0
"hsa-miR-16-2-3p",841,779,348,581,591,180,238,50,207,267,3,50
"hsa-miR-151a-3p",1401,750,497,1402,648,373,297,117,273,409,19,32
"hsa-miR-125b-1-5p",565,460,106,489,144,74,16,14,23,72,5,7
"hsa-miR-3118-1-3p",26,3,4,7,4,1,0,1,0,1,1,0
"hsa-miR-324-5p",11,21,11,25,17,10,6,3,3,5,0,0
"hsa-miR-221-5p",25,33,17,61,16,3,18,0,10,9,0,1
"hsa-miR-3177-3p",22,22,28,21,34,6,15,5,5,9,0,3
"hsa-miR-877-5p",8,6,11,24,11,2,5,2,6,3,2,1
"hsa-miR-140-5p",231,204,29,161,37,47,13,6,32,52,1,1
"hsa-miR-4421-3p",10,15,7,11,5,3,2,3,5,3,0,0
